"","Ca","Mg","K","Na","Fl","SO4","Cl","NO3","TH","pH","EC","TDS","WQI"
"473",78,33,1.6,23,0.3,5,13.9,64.1,331,7.14,644,15,49.45268
"474",46.9,38.5,1.8,105,0.4,6.7,53.3,106,275,7.27,662,17.6,64.968128627451
"475",109,56,7.8,81,0.2,42,51,114,503,7.3,764,12.7,75.0275254901961
"476",26,16.8,1.6,36,0.5,9,26,43,134,6.75,334,4.5,35.9551607843137
"477",61.1,31.1,2.6,52.4,0.3,11.5,51.7,8,281,7.06,508,20.9,32.9477105882353
"478",70.4,38.1,3.8,75.6,0.4,3.9,60.3,79,332.35,7.38,582,7.8,57.3882815686274
"479",49,35,3.9,125,0.6,60,100,108,266,7.2,714,3.7,70.9952470588235
"480",46.2,46.8,5.47,175,0.9,1.9,49,102,307.76,7.49,786,0.2,74.4724411764706
"481",52,33,4.7,77,0.3,36,25,73.5,266,7.1,496,1.8,52.3386352941177
"482",99,45,0.8,38,0.3,13,74,96.7,432,6.9,812,22,64.8542117647059
"483",72,17.4,2.3,23,0.3,3,7,76.1,251,7.2,460,7.2,48.3256470588235
"484",79,58,5.2,39,0.2,26,42,94.4,436,7.3,592,12.75966,62.3043959701961
"485",165,89,7.4,150,0.4,163,372,178.1559,400,6.75,1166.558,30,118.21281745098
"486",56,27,3.6,40,1.838257,5.3,14.2,58,251,7.5,380,7.7,58.2577876862745
"487",62,29,3.3,32,1.980293,4.6,25,59.4,274,7.3,412,5.2,60.3807934901961
"488",70,36,2.7,35,2.631988,14.7,32,67.4,323,7.4,544,15.4,72.4570919215686
"489",64.6,35.4,0.8,3.2,1.65757,0.8,4.4,59,306.78,7.15,358,3.7,55.1216745098039
"490",56,27,3.6,40,1.838257,5.3,14.2,58,251,7.5,380,7.7,58.2577876862745
"491",62,29,3.3,32,1.980293,4.6,25,59.4,274,7.3,412,5.2,60.3807934901961
"492",70,36,2.7,35,2.631988,14.7,32,67.4,323,7.4,544,15.4,72.4570919215686
"493",22.33008,29.02125,2.472626,78.18031,1,13.293499,129.30901,75.5,224.2163,7.169154,324,0.4,54.6317287672157
"494",44.91188,32.09557,3.284499,75.27451,0.1,17.420996,151.77289,65.7,263.4,7.175351,362,1,46.5701484182745
"495",96.3111,61.3838,4.214242,139.11728,1,8.104709,305.97159,137,366.1423,7.446149,758,1.8,91.8051501708627
"496",57.76021,36.63932,3.452172,79.0468,0.1,10.880711,180.80356,76.7,301.6711,7.207406,400,6.7,52.156792873451
"497",140.78767,74.567,4.264287,120.1749,0.2,43.728859,300.20663,138.8,489.7708,7.208243,752,0.4,89.8762724492549
"498",122.78154,76.08469,4.993479,153.83044,1.3,37.187088,361.4201,147.9,418.5394,7.911264,914,0.1,106.275931348275
"499",108.91055,67.55202,7.197541,132.01338,0.1,16.085146,447.47571,75.5,356.574,7.669949,410,26.2,67.3604463522745
"500",23.38182,19.29904,2.810366,54.74123,0.2,3.74969,131.08403,35.2,146.0813,7.510776,200,0.4,32.6017022773726
"501",509.75305,300.86594,31.785406,476.84943,0.7,122.720154,1892.86572,130.6,1054.8761,9.41662,800,112.3,198.89326140098
"502",143.46494,86.01402,8.554128,155.74597,0.1,21.490047,540.07269,85.8,417.2142,7.740288,522,28.9,79.250830603451
"503",36.71012,43.32438,7.418192,99.43423,1.8,39.184849,186.54765,87.1,295.453,7.903558,536,0.4,75.2097759783529
"504",46.80782,39.16075,4.136788,106.53799,1.2,29.580736,205.12263,99.9,272.9397,7.57871,546,2.7,72.6367829829412
"505",257.69174,160.71291,17.457861,321.1637,0.8,61.472626,1112.88147,113.6,582.9199,7.040758,650,63.2,130.577897741137
"506",170.64835,129.98386,16.978085,323.05722,2,32.518364,1090.70789,99.2,410.981,6.536681,428,72.2,122.985080995961
"507",26.55868,35.53013,3.088701,102.09286,1.4,4.411845,182.52521,75,248.7885,7.186661,480,3.6,62.6968005221961
"508",192.38586,116.64061,12.813498,202.01138,0.2,42.094532,762.70673,83,501.2788,8.141593,424,47,93.2780039071373
